                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.70729,                0.73164,                 1.1031,                0.43645,                0.36407,                0.36865,                0.22076,                 1.5601,                 1.8601,                 2.0262,             0.00052359,             0.00052359,             0.00052359
                     67,                0.68743,                0.73215,                  1.094,                0.41809,                0.44253,                0.37231,                0.21736,                 1.5208,                 1.8724,                  1.997,             0.00050944,             0.00050944,             0.00050944
                     68,                0.69293,                0.73417,                 1.0908,                0.42026,                0.44036,                0.37984,                0.22101,                 1.5371,                 1.7881,                 2.0175,             0.00049529,             0.00049529,             0.00049529
                     69,                0.68587,                0.72916,                 1.0994,                0.39216,                0.41077,                0.37367,                0.22872,                 1.5253,                 1.8106,                   2.01,             0.00048114,             0.00048114,             0.00048114
                     70,                0.69106,                0.73899,                 1.1026,                0.45952,                0.40906,                0.38323,                0.23216,                 1.5323,                 1.8619,                 2.0019,               0.000467,               0.000467,               0.000467
                     71,                0.67446,                0.71571,                 1.0949,                0.46247,                0.48792,                0.39359,                0.23664,                 1.5443,                 1.8545,                 2.0086,             0.00045285,             0.00045285,             0.00045285
                     72,                0.68295,                0.72425,                 1.0875,                0.47947,                0.41103,                0.38108,                 0.2228,                  1.533,                 1.8798,                      2,              0.0004387,              0.0004387,              0.0004387
                     73,                0.65741,                0.73169,                 1.0823,                0.41328,                0.44174,                0.37914,                0.22023,                 1.5496,                 1.8946,                 2.0346,             0.00042456,             0.00042456,             0.00042456
                     74,                0.69905,                0.72994,                 1.1134,                0.45549,                0.40744,                0.39562,                0.22812,                 1.5356,                 1.7754,                 2.0356,             0.00041041,             0.00041041,             0.00041041
                     75,                0.65302,                0.71041,                 1.0833,                0.47597,                0.42873,                0.39397,                0.24331,                  1.488,                 1.7346,                 1.9613,             0.00039626,             0.00039626,             0.00039626
                     76,                0.67125,                0.70131,                 1.0912,                 0.3846,                0.43516,                0.35351,                0.21359,                 1.5368,                 1.9986,                 2.0059,             0.00038211,             0.00038211,             0.00038211
                     77,                0.63087,                0.67681,                 1.0695,                0.42011,                0.45769,                0.38597,                0.23273,                 1.5004,                 1.8837,                 1.9943,             0.00036797,             0.00036797,             0.00036797
                     78,                0.63128,                0.65724,                 1.0593,                0.41505,                0.48812,                0.38369,                0.23182,                 1.5489,                 1.8982,                 2.0792,             0.00035382,             0.00035382,             0.00035382
                     79,                0.63104,                0.65515,                 1.0628,                0.43937,                0.43793,                0.39049,                0.23379,                 1.5498,                  1.773,                 2.0757,             0.00033967,             0.00033967,             0.00033967
                     80,                0.63894,                0.66477,                 1.0547,                0.41539,                 0.4528,                0.38285,                0.23081,                 1.5256,                 1.8523,                 2.0414,             0.00032553,             0.00032553,             0.00032553
                     81,                0.62303,                 0.6547,                 1.0744,                0.44897,                0.45582,                0.40673,                0.24623,                 1.5124,                 1.7905,                 2.0176,             0.00031138,             0.00031138,             0.00031138
                     82,                0.61716,                0.66921,                 1.0604,                0.46786,                 0.3986,                 0.3958,                0.24075,                 1.5146,                 1.7744,                 2.0255,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.5915,                0.61054,                 1.0419,                0.45342,                0.42679,                0.38084,                0.23213,                 1.5142,                 1.8146,                 2.0271,             0.00028308,             0.00028308,             0.00028308
                     84,                0.59512,                0.60509,                 1.0439,                0.45061,                0.47684,                0.38614,                0.23385,                 1.4963,                 1.7951,                 2.0017,             0.00026894,             0.00026894,             0.00026894
